Time_Sec,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
4920818033248600,2358,1827,2076,1906,4032,1970
4920818033533900,2358,1827,2076,1907,4029,1969
4920818033649000,2356,1879,2076,1905,4028,2012
4920818034183200,2388,1828,2073,1902,4026,1967
4920818034471600,2357,1826,2074,1906,4034,1968
4920818034607900,2357,1826,2093,1905,4033,1968
4920818034787700,2357,1828,2074,1906,4033,1968
4920818034935800,2358,1828,2075,1908,4029,1969
4920818035064900,2358,1827,2076,1906,4028,1969
4920818035179300,2357,1828,2077,1905,4031,1968
4920818035282900,2474,1828,2075,1908,4031,1969
4920818035406300,2355,1827,2076,1905,4031,1969
4920818035492900,2356,1829,2075,1905,4028,1969
4920818035583500,2357,1828,2075,1904,4032,1969
4920818035691200,2358,1828,2075,1905,4026,1969
4920818035945100,2356,1828,2074,1905,4028,1970
4920818036024000,2358,1828,2074,1905,4032,1970
4920818036086000,2359,1828,2075,1905,4032,2017
4920818036157500,2357,1827,2074,1904,4095,1968
4920818036263400,2357,1828,2074,1906,4029,1969
4920818036342300,2358,1828,2074,1905,4032,1967
4920818036446200,2357,1828,2076,1905,4032,1968
4920818036730000,2356,1829,2075,1905,4030,1968
4920818037038900,2358,1828,2076,1747,4031,1968
4920818037141200,2357,1827,2075,1904,4034,1968
4920818037214600,2356,1835,2074,1906,4021,1969
4920818037274200,2362,1828,2074,1904,4031,1969
4920818037486200,2357,1827,2052,1904,4033,1969
4920818037581400,2357,1827,2074,1906,4028,1968
4920818037683500,2358,1828,2075,1904,4062,1970
4920818037783400,2358,1826,2081,1906,4030,1967
4920818037861300,2358,1828,2076,1905,4028,1968
4920818037918800,2357,1828,2074,1904,4030,1969
4920818037977100,2358,1827,2075,1904,4033,1971
4920818038036200,2356,1827,2074,1904,4060,1969
4920818038091100,2356,1828,2075,1904,4032,1968
4920818038145600,2355,1827,2075,1906,4026,1970
4920818038218000,2356,1828,2075,1904,4032,1969
4920818038284400,2358,1829,2082,1905,4029,1969
4920818038575500,2358,1827,2075,1904,4030,1969
4920818038703200,2357,1827,2073,1905,4034,1969
4920818038802200,2357,1849,2075,1905,4028,1970
4920818038893700,2356,1681,2075,1904,4068,1969
4920818039331400,2362,1827,2075,1905,4032,1968
4920818039437900,2356,1828,2074,1904,4032,1968
4920818039536700,2358,1827,2075,1904,4036,1969
4920818039727900,2358,1827,2075,1904,4029,2024
4920818039820400,2357,1828,2081,1907,4030,1966
4920818039894800,2358,1827,2074,1906,4028,1969
4920818040145600,2356,1828,2074,1905,4030,1969
4920818040265800,2360,1828,2074,1904,4031,1967
4920818040348400,2356,1828,2076,1905,4034,2009
4920818040507200,2359,1827,2074,1906,4031,1968
4920818040645900,2357,1828,2075,1904,4031,1968
4920818040889500,2357,1827,2075,1906,4029,1969
4920818041002500,2357,1828,2072,1905,4030,1973
4920818041139800,2357,1827,2074,1905,4030,1969
4920818041234200,2356,1827,2075,1906,4076,1970
4920818041310100,2356,1828,2074,1912,4029,1969
4920818041385100,2356,1828,2076,1904,4029,1969
4920818041498000,2358,1826,2074,1904,4032,1969
4920818041608300,2359,1827,2074,1906,4030,1970
4920818041711700,2357,1828,2075,1904,4028,1969
4920818041799700,2358,1828,2075,1905,4029,1968
4920818041868100,2357,1827,2076,1906,4029,1969
4920818042142700,2358,1860,2075,1906,4028,2003
4920818042282200,2380,1827,2074,1904,4029,1969
4920818042396600,2359,1826,2074,1906,4035,1968
4920818042492800,2358,1827,2089,1905,4032,1969
4920818042606100,2358,1828,2074,1905,4036,1969
4920818042720100,2356,1828,2074,1905,4035,1967
4920818042816600,2358,1827,2076,1904,4032,1969
4920818042899100,2358,1828,2076,1904,4027,1969
4920818043120000,2475,1828,2074,1905,4029,1969
4920818043288700,2356,1828,2075,1906,4031,1969
4920818043413200,2357,1829,2075,1905,4032,1968
4920818043529000,2357,1828,2075,1905,4032,1970
4920818043629700,2357,1827,2075,1904,4030,1968
4920818570816200,2356,1828,2074,1905,4033,1968
4920818571290800,2358,1828,2076,1904,4032,1969
4920818571655700,2357,1829,2075,1904,4028,2014
4920818571998800,2357,1828,2073,1904,4095,1969
4920818572425900,2356,1826,2076,1906,4029,1969
4920818572813200,2358,1828,2074,1906,4029,1969
4920818573297000,2357,1828,2076,1905,4032,1969
4920818573454300,2357,1827,2075,1904,4032,1969
4920818574046300,2356,1828,2076,1748,4034,1968
4920818574416200,2357,1828,2075,1904,4030,1966
4920818574549000,2358,1832,2075,1905,4024,1969
4920818574644600,2361,1828,2074,1905,4031,1968
4920818575094900,2357,1826,2053,1904,4033,1968
4920818575285700,2358,1826,2075,1906,4030,1968
4920818575385900,2359,1828,2074,1904,4033,1969
4920818575634700,2357,1829,2080,1906,4027,1969
4920818575771900,2359,1827,2076,1904,4033,1970
4920818576093700,2357,1828,2075,1904,4032,1970
4920818576175700,2357,1827,2075,1904,4032,1971
4920818576249000,2356,1828,2075,1904,4056,1969
4920818576355900,2358,1828,2075,1905,4032,1969
4920818576629100,2355,1827,2075,1906,4027,1969
4920818577060800,2357,1827,2075,1904,4031,1968
4920818577189000,2358,1828,2078,1903,4030,1969
4920818577304600,2356,1829,2075,1904,4030,1970
4920818577448200,2357,1826,2073,1906,4030,1969
4920818577807000,2357,1842,2075,1905,4029,2094
4920818578119000,2357,1680,2075,1904,4058,1968
4920818578497500,2362,1827,2075,1903,4032,1968
4920818578833900,2356,1827,2074,1904,4032,1968
4920818579095000,2359,1828,2074,1904,4055,1968
4920818579223800,2356,1829,2076,1904,4032,2013
4920818579511800,2356,1828,2080,1906,4030,1968
4920818579698500,2358,1827,2074,1905,4029,1969
4920818579810700,2358,1827,2075,1906,4027,1970
4920818579898400,2360,1828,2074,1904,4031,1968
4920818580047800,2356,1828,2075,1905,4032,2005
4920818580201700,2358,1827,2073,1906,4029,1968
4920818580349200,2357,1827,2075,1905,4033,1970
4920818580478800,2358,1828,2074,1905,4029,1969
4920818580731300,2357,1828,2072,1906,4032,1972
4920818580846400,2358,1827,2074,1904,4030,1967
4920818580939500,2356,1829,2075,1905,4073,1970
4920818581030000,2356,1827,2074,1908,4033,1967
4920818581147100,2358,1828,2076,1905,4030,1970
4920818581241400,2356,1827,2075,1905,4031,1970
4920818581321100,2356,1827,2075,1905,4031,1968
4920818581418200,2357,1828,2075,1904,4032,1969
4920818581641200,2357,1828,2076,1905,4032,1968
4920818581868900,2358,1827,2075,1908,4031,1968
4920818582015000,2356,1860,2076,1904,4032,1969
4920818582106500,2378,1826,2074,1904,4034,1967
4920818582245500,2358,1828,2074,1906,4036,1968
4920818582370700,2358,1826,2092,1906,4029,1968
4920818582474100,2358,1828,2074,1907,4031,1968
4920818582581600,2357,1828,2075,1905,4032,1968
4920818582689500,2357,1828,2075,1905,4038,1968
4920818582763500,2358,1827,2077,1905,4027,1968
4920818582830000,2478,1827,2075,1903,4030,1969
4920818583094000,2357,1827,2076,1906,4027,1968
4920818583213600,2357,1828,2074,1905,4032,1968
4920818583343100,2356,1827,2075,1905,4032,1969
4920818583565800,2357,1828,2074,1903,4033,1969
4920818583669300,2357,1828,2074,1905,4031,1968
4920818583777900,2357,1827,2075,1904,4030,1969
4920818583886600,2357,1827,2075,1904,4029,2014
4920818584005100,2357,1828,2074,1904,4095,1968
4920818584118400,2357,1827,2076,1905,4031,1968
4920818584226700,2358,1827,2074,1906,4034,1968
4920818584317500,2358,1828,2075,1905,4028,1970
