Timestamp (ISO),CH0,CH1,CH2,CH3,CH4,CH5
2026-01-27 19:32:03.267-0800,2872,1727,1832,1969,2250,4095
2026-01-27 19:32:03.283-0800,3760,1727,1833,1968,2271,4095
2026-01-27 19:32:03.283-0800,2873,1728,1833,1966,2289,4095
2026-01-27 19:32:03.299-0800,3728,1727,1833,1967,2309,4095
2026-01-27 19:32:03.315-0800,3321,1727,1833,1967,2329,4095
2026-01-27 19:32:03.330-0800,2870,1727,1833,1967,2353,4095
2026-01-27 19:32:03.336-0800,3299,1727,1834,1968,2366,4095
2026-01-27 19:32:03.346-0800,3313,1726,1833,1969,2382,4095
2026-01-27 19:32:03.362-0800,2895,1724,1829,1963,2392,4095
2026-01-27 19:32:03.378-0800,3308,1723,1827,1964,2404,4095
2026-01-27 19:32:03.378-0800,2871,1723,1829,1964,2418,4095
2026-01-27 19:32:03.394-0800,3613,1721,1828,1964,2421,4095
2026-01-27 19:32:03.413-0800,3301,1722,1829,1964,2431,4094
2026-01-27 19:32:03.429-0800,2870,1722,1828,1963,2439,4095
2026-01-27 19:32:03.429-0800,3721,1722,1830,1964,2453,4095
2026-01-27 19:32:03.445-0800,2869,1724,1830,1964,2460,4095
2026-01-27 19:32:03.460-0800,3336,1723,1829,1964,2472,4095
2026-01-27 19:32:03.476-0800,3304,1722,1828,1964,2476,4095
2026-01-27 19:32:03.476-0800,2869,1722,1829,1964,2483,4095
2026-01-27 19:32:03.493-0800,3713,1723,1829,1962,2485,4095
2026-01-27 19:32:03.508-0800,3303,1723,1829,1963,2491,4095
2026-01-27 19:32:03.524-0800,2870,1723,1829,1963,2496,4095
2026-01-27 19:32:03.524-0800,3729,1722,1829,1964,2495,4095
2026-01-27 19:32:03.540-0800,2869,1722,1829,1965,2497,4095
2026-01-27 19:32:03.557-0800,3696,1723,1829,1963,2499,4095
2026-01-27 19:32:03.571-0800,3304,1722,1828,1962,2502,4095
2026-01-27 19:32:03.576-0800,2871,1722,1829,1964,2501,4095
2026-01-27 19:32:03.587-0800,3301,1722,1829,1963,2500,4092
2026-01-27 19:32:03.603-0800,3300,1722,1829,1963,2501,4095
2026-01-27 19:32:03.619-0800,2887,1722,1830,1963,2495,4095
2026-01-27 19:32:03.619-0800,3291,1724,1830,1965,2482,4095
2026-01-27 19:32:03.637-0800,2871,1723,1829,1964,2477,4090
2026-01-27 19:32:03.653-0800,3589,1723,1829,1964,2470,4095
2026-01-27 19:32:03.669-0800,3286,1726,1830,1964,2454,4095
2026-01-27 19:32:03.670-0800,2870,1723,1830,1962,2453,4095
2026-01-27 19:32:03.685-0800,3707,1723,1831,1964,2442,4095
2026-01-27 19:32:03.701-0800,2870,1724,1831,1963,2420,4095
2026-01-27 19:32:03.717-0800,3359,1724,1830,1963,2388,4095
2026-01-27 19:32:03.718-0800,3332,1724,1830,1963,2365,4086
2026-01-27 19:32:03.733-0800,2868,1723,1830,1964,2355,4095
2026-01-27 19:32:03.749-0800,3709,1724,1830,1964,2342,4095
2026-01-27 19:32:03.766-0800,3263,1723,1831,1964,2327,4095
2026-01-27 19:32:03.766-0800,2870,1725,1829,1964,2312,4095
2026-01-27 19:32:03.781-0800,3723,1723,1834,1964,2292,4095
2026-01-27 19:32:03.797-0800,2870,1725,1832,1964,2267,4095
2026-01-27 19:32:03.812-0800,3689,1724,1831,1963,2238,4095
2026-01-27 19:32:03.812-0800,3295,1724,1831,1964,2208,4095
2026-01-27 19:32:03.827-0800,2870,1723,1831,1964,2181,4095
2026-01-27 19:32:03.842-0800,3296,1724,1831,1963,2162,4095
2026-01-27 19:32:03.858-0800,3295,1726,1844,1963,2143,4095
2026-01-27 19:32:03.858-0800,2903,1722,1832,1964,2125,4095
2026-01-27 19:32:03.874-0800,3264,1724,1834,1963,2113,4095
2026-01-27 19:32:03.892-0800,2869,1723,1833,1964,2103,4095
2026-01-27 19:32:03.904-0800,3603,1723,1833,1964,2081,4095
2026-01-27 19:32:03.910-0800,3304,1723,1833,1964,2050,4095
2026-01-27 19:32:03.920-0800,2870,1725,1833,1963,2020,4095
2026-01-27 19:32:03.941-0800,3715,1723,1835,1964,2001,4095
2026-01-27 19:32:03.957-0800,2870,1726,1835,1964,1996,4095
2026-01-27 19:32:03.957-0800,3275,1724,1833,1963,1994,4095
2026-01-27 19:32:03.973-0800,3288,1724,1834,1965,1989,4095
2026-01-27 19:32:03.988-0800,2869,1724,1835,1965,1987,4095
2026-01-27 19:32:04.002-0800,3689,1725,1833,1964,1983,4095
2026-01-27 19:32:04.002-0800,3299,1726,1834,1963,1977,4095
2026-01-27 19:32:04.018-0800,2870,1725,1830,1963,1970,4095
2026-01-27 19:32:04.037-0800,3689,1725,1833,1964,1968,4095
2026-01-27 19:32:04.052-0800,2871,1724,1834,1965,1965,4094
2026-01-27 19:32:04.052-0800,3697,1724,1835,1964,1964,4095
2026-01-27 19:32:04.066-0800,3295,1724,1834,1964,1963,4095
2026-01-27 19:32:04.082-0800,2869,1725,1835,1964,1963,4095
2026-01-27 19:32:04.098-0800,3339,1724,1835,1963,1962,4095
2026-01-27 19:32:04.098-0800,3288,1726,1834,1963,1963,4095
2026-01-27 19:32:04.113-0800,2894,1725,1834,1964,1962,4095
2026-01-27 19:32:04.129-0800,3295,1725,1835,1964,1962,4095
2026-01-27 19:32:04.149-0800,2869,1725,1834,1964,1963,4095
2026-01-27 19:32:04.151-0800,3605,1723,1832,1964,1963,4095
2026-01-27 19:32:04.161-0800,3290,1724,1834,1964,1963,4095
2026-01-27 19:32:04.180-0800,2866,1725,1834,1962,1962,4095
2026-01-27 19:32:04.196-0800,3773,1724,1835,1962,1963,4095
2026-01-27 19:32:04.197-0800,2869,1725,1835,1963,1963,4095
2026-01-27 19:32:04.213-0800,3286,1726,1834,1964,1964,4095
2026-01-27 19:32:04.229-0800,3300,1725,1834,1963,1964,4094
2026-01-27 19:32:04.246-0800,2869,1726,1834,1964,1965,4095
2026-01-27 19:32:04.246-0800,3721,1725,1834,1962,1963,4094
2026-01-27 19:32:04.260-0800,3302,1725,1835,1963,1965,4093
2026-01-27 19:32:04.276-0800,2868,1726,1834,1965,1966,4095
2026-01-27 19:32:04.292-0800,3689,1724,1835,1964,1966,4095
2026-01-27 19:32:04.292-0800,2868,1725,1834,1964,1966,4095
2026-01-27 19:32:04.309-0800,3700,1727,1833,1964,1966,4095
2026-01-27 19:32:04.325-0800,3311,1724,1834,1964,1967,4095
2026-01-27 19:32:04.340-0800,2869,1726,1835,1959,1965,4095
2026-01-27 19:32:04.340-0800,3309,1724,1835,1963,1965,4095
2026-01-27 19:32:04.356-0800,3323,1728,1838,1969,1966,4095
2026-01-27 19:32:04.372-0800,2906,1728,1838,1968,1968,4095
2026-01-27 19:32:04.389-0800,3328,1728,1838,1968,1968,4095
2026-01-27 19:32:04.389-0800,2872,1727,1838,1968,1969,4095
