Timestamp (ISO),CH0,CH1,CH2,CH3,CH4,CH5
2026-01-27 19:30:59.250-0800,3325,1726,1871,1993,1797,4095
2026-01-27 19:30:59.266-0800,2870,1728,1871,1993,1797,4095
2026-01-27 19:30:59.282-0800,3771,1727,1872,1992,1796,4095
2026-01-27 19:30:59.303-0800,3305,1727,1872,1992,1802,4095
2026-01-27 19:30:59.303-0800,2870,1727,1870,1993,1792,4095
2026-01-27 19:30:59.318-0800,3797,1726,1872,1994,1798,4092
2026-01-27 19:30:59.334-0800,2867,1721,1867,1989,1793,4094
2026-01-27 19:30:59.350-0800,3710,1722,1867,1989,1794,4095
2026-01-27 19:30:59.350-0800,3321,1722,1868,1990,1794,4095
2026-01-27 19:30:59.365-0800,2869,1721,1867,1988,1795,4095
2026-01-27 19:30:59.381-0800,3323,1721,1867,1988,1793,4095
2026-01-27 19:30:59.397-0800,3316,1722,1867,1988,1793,4095
2026-01-27 19:30:59.399-0800,2902,1721,1866,1989,1793,4085
2026-01-27 19:30:59.413-0800,3306,1721,1867,1989,1792,4095
2026-01-27 19:30:59.431-0800,2870,1721,1868,1989,1793,4095
2026-01-27 19:30:59.446-0800,3635,1721,1867,1988,1793,4095
2026-01-27 19:30:59.446-0800,3307,1723,1866,1989,1794,4095
2026-01-27 19:30:59.462-0800,2871,1721,1868,1988,1792,4095
2026-01-27 19:30:59.478-0800,3752,1720,1865,1989,1791,4095
2026-01-27 19:30:59.494-0800,2869,1722,1867,1994,1793,4095
2026-01-27 19:30:59.494-0800,3310,1721,1867,1989,1793,4095
2026-01-27 19:30:59.510-0800,3312,1722,1866,1989,1793,4095
2026-01-27 19:30:59.526-0800,2867,1721,1867,1988,1793,4095
2026-01-27 19:30:59.542-0800,3723,1722,1866,1988,1792,4095
2026-01-27 19:30:59.542-0800,3310,1723,1868,1989,1793,4095
2026-01-27 19:30:59.558-0800,2870,1722,1867,1987,1794,4095
2026-01-27 19:30:59.573-0800,3745,1721,1868,1989,1793,4095
2026-01-27 19:30:59.589-0800,2868,1722,1867,1990,1793,4095
2026-01-27 19:30:59.589-0800,3685,1720,1867,1988,1794,4095
2026-01-27 19:30:59.606-0800,3314,1721,1867,1988,1794,4091
2026-01-27 19:30:59.621-0800,2869,1721,1867,1988,1793,4095
2026-01-27 19:30:59.636-0800,3315,1721,1867,1989,1793,4095
2026-01-27 19:30:59.639-0800,3317,1722,1868,1989,1792,4095
2026-01-27 19:30:59.652-0800,2900,1721,1868,1989,1793,4084
2026-01-27 19:30:59.668-0800,3311,1721,1875,1989,1792,4095
2026-01-27 19:30:59.686-0800,2870,1721,1884,1988,1793,4079
2026-01-27 19:30:59.687-0800,3625,1721,1903,1987,1793,4095
2026-01-27 19:30:59.701-0800,3309,1721,1933,1988,1792,4091
2026-01-27 19:30:59.716-0800,2871,1720,1976,1989,1792,4095
2026-01-27 19:30:59.732-0800,3773,1721,2035,1989,1792,4095
2026-01-27 19:30:59.732-0800,2866,1722,2098,1989,1793,4095
2026-01-27 19:30:59.749-0800,3357,1721,2160,1989,1794,4095
2026-01-27 19:30:59.764-0800,3308,1722,2221,1989,1793,4095
2026-01-27 19:30:59.782-0800,2868,1721,2277,1989,1794,4095
2026-01-27 19:30:59.782-0800,3731,1723,2318,1990,1793,4095
2026-01-27 19:30:59.796-0800,3310,1723,2353,1988,1792,4095
2026-01-27 19:30:59.812-0800,2870,1721,2369,1989,1792,4095
2026-01-27 19:30:59.827-0800,3744,1721,2371,1989,1793,4095
2026-01-27 19:30:59.827-0800,2871,1722,2370,1991,1793,4095
2026-01-27 19:30:59.843-0800,3704,1721,2370,1989,1793,4095
2026-01-27 19:30:59.859-0800,3314,1722,2370,1989,1794,4095
2026-01-27 19:30:59.875-0800,2867,1722,2371,1988,1793,4095
2026-01-27 19:30:59.875-0800,3307,1721,2370,1987,1792,4089
2026-01-27 19:30:59.891-0800,3307,1721,2371,1989,1793,4095
2026-01-27 19:30:59.908-0800,2899,1721,2368,1989,1792,4087
2026-01-27 19:30:59.926-0800,3315,1722,2371,1989,1792,4095
2026-01-27 19:30:59.927-0800,2868,1721,2370,1989,1793,4082
2026-01-27 19:30:59.942-0800,3629,1721,2371,1988,1793,4088
2026-01-27 19:30:59.958-0800,3308,1723,2369,1990,1792,4095
2026-01-27 19:30:59.974-0800,2869,1721,2369,1989,1794,4095
2026-01-27 19:30:59.974-0800,3749,1721,2371,1989,1795,4095
2026-01-27 19:30:59.990-0800,2870,1723,2371,1989,1792,4095
2026-01-27 19:31:00.006-0800,3320,1722,2369,1989,1793,4095
2026-01-27 19:31:00.022-0800,3308,1721,2360,1990,1792,4095
2026-01-27 19:31:00.023-0800,2869,1722,2340,1989,1795,4095
2026-01-27 19:31:00.036-0800,3747,1723,2308,1989,1793,4095
2026-01-27 19:31:00.052-0800,3348,1723,2262,1989,1794,4095
2026-01-27 19:31:00.067-0800,2870,1723,2201,1987,1793,4095
2026-01-27 19:31:00.067-0800,3757,1722,2131,1989,1795,4092
2026-01-27 19:31:00.083-0800,2867,1722,2066,1990,1793,4095
2026-01-27 19:31:00.099-0800,3738,1722,2012,1989,1795,4095
2026-01-27 19:31:00.116-0800,3316,1721,1971,1988,1796,4095
2026-01-27 19:31:00.116-0800,2870,1722,1943,1989,1797,4095
2026-01-27 19:31:00.131-0800,3306,1724,1926,1988,1796,4095
2026-01-27 19:31:00.146-0800,3293,1721,1914,1989,1797,4095
2026-01-27 19:31:00.162-0800,2903,1721,1912,1989,1796,4089
2026-01-27 19:31:00.167-0800,3352,1720,1912,1988,1797,4095
2026-01-27 19:31:00.181-0800,2871,1720,1911,1988,1799,4095
2026-01-27 19:31:00.197-0800,3627,1719,1911,1988,1797,4095
2026-01-27 19:31:00.214-0800,3315,1722,1909,1989,1797,4095
2026-01-27 19:31:00.214-0800,2871,1721,1908,1988,1798,4095
2026-01-27 19:31:00.230-0800,3785,1720,1909,1990,1798,4095
2026-01-27 19:31:00.243-0800,2870,1721,1908,1990,1800,4089
2026-01-27 19:31:00.259-0800,3306,1721,1907,1988,1798,4081
2026-01-27 19:31:00.259-0800,3305,1721,1908,1991,1797,4095
2026-01-27 19:31:00.275-0800,2873,1721,1908,1989,1799,4095
2026-01-27 19:31:00.290-0800,3733,1719,1907,1988,1799,4095
2026-01-27 19:31:00.306-0800,3313,1719,1908,1989,1798,4095
2026-01-27 19:31:00.311-0800,2872,1721,1907,1989,1798,4095
2026-01-27 19:31:00.322-0800,3777,1724,1913,1993,1803,4095
2026-01-27 19:31:00.339-0800,2870,1727,1912,1994,1801,4095
2026-01-27 19:31:00.358-0800,3745,1726,1912,1993,1805,4095
2026-01-27 19:31:00.359-0800,3328,1727,1913,1993,1803,4095
2026-01-27 19:31:00.375-0800,2871,1726,1911,1993,1803,4095
2026-01-27 19:31:00.388-0800,3337,1726,1911,1992,1803,4095
2026-01-27 19:31:00.402-0800,3332,1725,1912,1994,1805,4095
2026-01-27 19:31:00.402-0800,2906,1726,1912,1991,1802,4095
2026-01-27 19:31:00.422-0800,3330,1725,1912,1994,1803,4095
2026-01-27 19:31:00.434-0800,2873,1726,1911,1992,1803,4095
2026-01-27 19:31:00.450-0800,3653,1725,1912,1992,1804,4095
2026-01-27 19:31:00.450-0800,3320,1726,1912,1993,1802,4095
