Time_Sec,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
4921776718215000,2490,1414,2037,1910,4030,1869
4921776718278200,2488,1449,2039,1909,4030,1871
4921776718369300,2488,1263,2039,1909,4095,1870
4921776718441200,2490,1414,2039,1910,4050,1869
4921776718502000,2489,1413,2038,1910,4029,1873
4921776718560700,2489,1414,2039,1910,4031,1871
4921776718619400,2489,1414,2040,1909,4032,1946
4921776718717700,2489,1413,2064,1913,4029,1867
4921776718796000,2489,1415,2039,1910,4030,1870
4921776718880500,2490,1414,2039,1909,4028,1871
4921776719244500,2497,1415,2038,1910,4031,1871
4921776719360500,2490,1414,2039,1909,4032,1995
4921776719469900,2490,1413,2038,1910,4029,1870
4921776719577100,2489,1415,2038,1909,4073,1870
4921776719660600,2491,1414,2039,1910,4029,1870
4921776719732900,2490,1414,2034,1910,4032,1881
4921776719823100,2489,1414,2039,1909,4031,1869
4921776719910300,2490,1414,2039,1910,4095,1871
4921776719988000,2484,1414,2038,1920,4030,1870
4921776720070400,2490,1414,2040,1910,4032,1870
4921776720161100,2489,1414,2038,1903,4030,1870
4921776720448800,2491,1414,2037,1911,4031,1870
4921776720659500,2490,1415,2039,1909,4044,1871
4921776720812000,2489,1415,2039,1910,4032,1870
4921776721008000,2490,1414,2040,1911,4028,1870
4921776721162900,2490,1499,2040,1910,4029,1945
4921776721313400,2532,1414,2037,1909,4030,1871
4921776721470400,2492,1414,2038,1911,4034,1870
4921776721609800,2490,1413,2076,1912,4031,1869
4921776721721200,2490,1414,2038,1910,4031,1870
4921776721800100,2490,1415,2039,1910,4029,1869
4921776721891100,2490,1414,2040,1909,4050,1869
4921776721971100,2489,1414,2044,1911,4033,1870
4921776722085200,2607,1414,2039,1912,4031,1871
4921776722425900,2488,1414,2038,1909,4030,1869
4921776722546500,2490,1414,2038,1912,4032,1863
4921776722670600,2488,1415,2039,1909,4041,1870
4921776722800000,2490,1415,2038,1909,4095,1869
4921776722910500,2489,1414,2040,1908,4029,1869
4921776723023000,2490,1414,2039,1909,4032,1870
4921776723133400,2490,1414,2039,1909,4038,1941
4921776723375300,2492,1414,2038,1909,4095,1869
4921776723483200,2489,1414,2040,1910,4032,1870
4921776723642300,2491,1415,2038,1910,4033,1870
4921776723739000,2489,1414,2039,1909,4032,1870
4921776724080600,2489,1414,2039,1910,4029,1870
4921776724208400,2489,1414,2039,1910,4030,1869
4921776724365700,2490,1414,2038,1910,4030,1870
4921776724458200,2489,1428,2039,1910,4026,1870
4921776724568500,2492,1415,2038,1909,4032,1871
4921776724642500,2488,1414,2018,1910,4031,1870
4921776724711200,2489,1414,2038,1926,4031,1869
4921776724828100,2490,1415,2039,1909,4095,1871
4921776724964300,2490,1414,2038,1911,4031,1870
4921776725076300,2490,1414,2040,1910,4032,1870
4921776725336600,2490,1415,2038,1908,4038,1869
4921776725461700,2490,1417,2039,1910,4031,1873
4921776725558700,2488,1414,2039,1910,4095,1870
4921776725634100,2488,1414,2039,1910,4031,1869
4921776725699700,2490,1413,2039,1910,4029,1869
4921776725763700,2489,1414,2039,1910,4031,1871
4921776725865700,2490,1415,2040,1910,4030,1870
4921776725964800,2489,1415,2039,1910,4030,1870
4921776726052800,2489,1414,2037,1910,4032,1869
4921776726126200,2489,1450,2039,1909,4030,1871
4921776726190000,2489,1263,2039,1909,4095,1869
4921776726254100,2491,1412,2039,1910,4052,1869
4921776726353300,2490,1414,2038,1909,4030,1874
4921776726447400,2490,1414,2038,1909,4095,1871
4921776726552300,2490,1414,2040,1909,4030,1941
4921776726645700,2490,1414,2064,1913,4029,1867
4921776726958200,2490,1414,2038,1910,4031,1870
4921776727094900,2490,1413,2039,1909,4029,1871
4921777259977700,2498,1414,2038,1910,4031,1871
4921777260203800,2490,1414,2038,1909,4032,1994
4921777260288200,2491,1413,2038,1910,4031,1870
4921777260431800,2490,1413,2039,1910,4031,1871
4921777260757900,2490,1415,2039,1910,4032,1871
4921777260890800,2490,1415,2033,1910,4032,1882
4921777261164500,2489,1414,2040,1910,4030,1869
4921777261483400,2489,1414,2038,1909,4095,1870
4921777261902300,2486,1413,2038,1920,4031,1870
4921777262223700,2489,1430,2040,1910,4032,1870
4921777262438400,2489,1413,2038,1903,4028,1870
4921777262641100,2490,1414,2039,1912,4031,1870
4921777262853300,2491,1415,2039,1909,4044,1871
4921777262943300,2490,1414,2039,1909,4032,1870
4921777263236900,2489,1414,2040,1910,4029,1870
4921777263462700,2488,1508,2040,1910,4030,1870
4921777263538200,2534,1414,2038,1909,4030,1871
4921777263801400,2490,1414,2038,1910,4034,1869
4921777264149500,2491,1413,2077,1911,4033,1870
4921777264311100,2491,1415,2039,1911,4032,1870
4921777264425300,2489,1415,2038,1910,4029,1869
4921777264539000,2489,1413,2039,1909,4050,1870
4921777264945000,2489,1413,2044,1909,4032,1870
4921777265079900,2606,1414,2040,1913,4031,1870
4921777265165500,2488,1414,2038,1910,4029,1869
4921777265574800,2490,1414,2038,1910,4032,1863
4921777266231600,2490,1414,2039,1909,4044,1870
4921777266557800,2489,1414,2038,1910,4095,1870
4921777266890100,2488,1416,2039,1910,4030,1869
4921777267051200,2489,1414,2039,1910,4048,1870
4921777267211900,2490,1414,2039,1909,4037,1940
4921777267441100,2489,1414,2038,1910,4095,1871
4921777267581700,2490,1412,2040,1909,4031,1868
4921777267665000,2490,1415,2038,1911,4033,1870
4921777267738100,2489,1414,2039,1911,4029,1870
4921777267806700,2490,1415,2039,1910,4032,1870
4921777267862400,2490,1415,2039,1910,4031,1870
4921777267951200,2490,1414,2038,1909,4095,1870
4921777268050800,2490,1426,2039,1909,4024,1871
4921777268151300,2489,1414,2038,1911,4031,1869
4921777268238900,2489,1414,2018,1910,4032,1869
4921777268307600,2490,1414,2040,1927,4031,1870
4921777268386200,2490,1414,2038,1909,4033,1871
4921777268455000,2491,1414,2038,1910,4030,1870
4921777268695400,2490,1415,2040,1910,4031,1870
4921777268778100,2489,1414,2038,1908,4036,1870
4921777268980600,2491,1417,2039,1910,4029,1871
4921777269075000,2490,1414,2038,1909,4095,1869
4921777269138900,2489,1412,1983,1910,4030,1870
4921777269215900,2490,1414,2040,1910,4028,1872
4921777269297300,2490,1414,2039,1910,4030,1871
4921777269363000,2491,1414,2040,1910,4028,1870
4921777269451200,2490,1415,2039,1909,4031,1870
4921777269566500,2489,1415,2037,1910,4032,1869
4921777269655300,2488,1448,2039,1909,4032,1871
4921777269723200,2490,1264,2039,1909,4095,1869
4921777269785500,2489,1414,2039,1910,4048,1870
4921777269871200,2490,1414,2039,1910,4030,1873
4921777269959600,2490,1414,2038,1909,4095,1870
4921777270163500,2490,1414,2039,1909,4030,1948
4921777270264300,2490,1414,2064,1913,4030,1867
4921777270376300,2489,1414,2039,1910,4031,1869
4921777270460400,2490,1414,2039,1909,4032,1870
4921777270705900,2498,1414,2038,1910,4030,1869
4921777270797900,2489,1414,2040,1909,4028,1992
4921777270884700,2492,1413,2038,1910,4031,1871
4921777270944900,2489,1415,2039,1910,4031,1871
4921777271018000,2489,1414,2037,1909,4032,1871
4921777271084600,2490,1414,2033,1910,4032,1882
4921777271161600,2490,1413,2039,1909,4028,1870
4921777271306600,2488,1414,2039,1909,4095,1871
4921777271399000,2484,1414,2038,1918,4031,1870
4921777271473900,2489,1434,2040,1910,4028,1870
4921777271540200,2490,1412,2039,1903,4032,1870
4921777271872600,2490,1414,2037,1911,4031,1870
4921777271995900,2490,1415,2039,1909,4048,1871
4921777272085300,2490,1415,2039,1910,4032,1870
4921777272205300,2490,1414,2040,1911,4029,1871
4921777272346400,2490,1505,2039,1909,4029,1946
4921777272471200,2533,1417,2037,1909,4031,1870
4921777272578600,2489,1414,2038,1911,4034,1870
4921777272704000,2489,1414,2078,1911,4033,1869
4921777272833600,2490,1415,2039,1910,4031,1869
4921777272922400,2489,1414,2039,1911,4029,1869
4921777273035900,2489,1413,2039,1909,4052,1869
4921777273112600,2489,1413,2044,1909,4030,1870
4921777273193400,2606,1414,2040,1913,4031,1870
4921777273429100,2488,1415,2039,1910,4029,1869
