Time_Sec,CH0-ThumbLow,CH1-ThumbUp,CH2-Pointer,CH3-Middle,CH4-Ring,CH5-Pinky
4920921021565500,1285,1856,2881,2743,4033,2661
4920921021704300,1283,1856,2883,2743,4034,2661
4920921021791400,1284,1856,2883,2741,4040,2660
4920921021870600,1284,1855,2885,2742,4031,2660
4920921021945100,1409,1855,2882,2742,4031,2661
4920921022020500,1282,1855,2882,2744,4031,2660
4920921022287700,1283,1855,2881,2744,4030,2661
4920921022364000,1283,1856,2883,2743,4033,2663
4920921022436500,1283,1856,2882,2741,4032,2661
4920921022518100,1284,1856,2882,2742,4029,2661
4920921022602400,1283,1856,2883,2742,4040,2662
4920921022696300,1284,1854,2882,2741,4029,2742
4920921022782600,1283,1857,2881,2741,4095,2662
4920921022882000,1282,1855,2882,2743,4032,2661
4920921022979400,1284,1855,2881,2742,4033,2661
4920921023066100,1283,1856,2883,2743,4029,2662
4920921023147200,1285,1856,2882,2743,4029,2661
4920921023379200,1284,1856,2883,2743,4032,2661
4920921023509900,1284,1855,2882,2741,4095,2661
4920921023612100,1284,1872,2882,2742,4028,2661
4920921023717800,1287,1855,2881,2744,4032,2661
4920921023813900,1283,1856,2882,2742,4033,2661
4920921023925600,1283,1856,2881,2743,4032,2661
4920921024056600,1283,1856,2881,2740,4079,2663
4920921024211200,1283,1856,2893,2743,4032,2662
4920921024309400,1284,1856,2882,2744,4029,2660
4920921024397500,1284,1857,2881,2741,4058,2662
4920921024551800,1283,1858,2883,2742,4095,2663
4920921024682800,1282,1856,2882,2741,4092,2661
4920921024816100,1284,1856,2882,2742,4040,2661
4920921024939200,1283,1855,2882,2743,4032,2661
4920921025058300,1285,1856,2881,2740,4022,2663
4920921025150100,1283,1856,2892,2742,4032,2661
4920921025274100,1284,1856,2883,2742,4030,2662
4920921025402900,1282,1854,2881,2743,4034,2659
4920921025536100,1285,1898,2883,2740,4054,2662
4920921025658800,1284,1707,2882,2741,4088,2661
4920921025803300,1286,1855,2883,2743,4032,2661
4920921025925500,1284,1856,2882,2742,4029,2660
4920921026073800,1284,1857,2881,2742,3989,2662
4920921026209900,1283,1856,2881,2740,4034,2782
4920921026358600,1282,1856,2904,2743,4030,2664
4920921026497100,1282,1856,2881,2743,4032,2661
4920921026597300,1284,1855,2882,2742,4076,2662
4920921026685600,1293,1856,2881,2744,4033,2661
4920921026795300,1283,1856,2883,2741,4033,2776
4920921027191200,1285,1855,2881,2743,4031,2662
4920921027553700,1284,1856,2883,2745,4031,2662
4920921027774400,1282,1857,2881,2742,4028,2662
4920921027863800,1282,1857,2881,2743,4029,2661
4920921027962400,1283,1856,2882,2742,4029,2661
4920921028053500,1284,1856,2882,2742,4031,2663
4920921028129100,1283,1855,2880,2749,4031,2662
4920921028400800,1281,1878,2883,2742,4026,2662
4920921028522900,1282,1854,2881,2742,4031,2713
4920921028604100,1283,1856,2882,2743,4031,2661
4920921028671800,1284,1857,2882,2742,4048,2661
4920921028761100,1283,1856,2883,2742,4032,2661
4920921028840000,1282,1856,2882,2743,4032,2661
4920921028913500,1283,1964,2883,2744,4032,2662
4920921028999000,1334,1855,2881,2744,4030,2662
4920921029090400,1284,1855,2880,2745,4035,2661
4920921029166500,1284,1854,2917,2743,4033,2658
4920921029278400,1284,1855,2882,2743,4033,2662
4920921029356200,1283,1856,2882,2742,4033,2660
4920921029426200,1284,1854,2883,2743,4040,2661
